|name                                     |id                                  |created_at                   |
|-----------------------------------------|------------------------------------|-----------------------------|
|store_img_success_career.png             |d33c007c-7b3e-4d6a-930a-e5151323a959|2026-07-13 12:34:40.648 +0400|
|store_img_people_and_culture.png         |47bec705-790c-417b-ab45-5d48b60e1412|2026-07-13 12:34:40.533 +0400|
|store_ico_bitbucket.png                  |30329e9e-debc-4bae-bce6-86dd51409f06|2026-07-13 12:34:19.707 +0400|
|store_ico_Menshov.png                    |c9481c90-6845-4f26-b789-0ca88d008d12|2026-07-13 12:34:19.830 +0400|
|store_ico_Pulse.png                      |f9614b26-7fb0-411b-b3bc-8148e706994f|2026-07-13 12:34:19.837 +0400|
|store_ico_Perry_bot.png                  |aa514063-2bc2-4f4d-bb00-67ed623c18a9|2026-07-13 12:34:19.714 +0400|
|store_ico_Mail.png                       |ebd95f6d-d342-4278-9bc8-4c82edbdbc69|2026-07-13 12:34:19.863 +0400|
|store_img_panels.png                     |8d0e8808-5558-4b3f-8764-4660e8403035|2026-07-13 12:34:40.508 +0400|
|store_ico_Brief.png                      |9c4caa35-0b43-4895-a6b2-b3a8dada488c|2026-07-13 12:34:19.726 +0400|
|store_img_path_from_developer_to_arch.png|8804774a-112e-454d-a71d-b0a461cfba05|2026-07-13 12:34:40.551 +0400|
|store_ico_channel_news.png               |189f955d-fc5b-4729-8bda-dd8599d5f85f|2026-07-13 12:34:19.739 +0400|
|store_ico_VCS.png                        |26e3a7dd-2433-4ab3-80a7-22ee0a31265d|2026-07-13 12:34:19.821 +0400|
|store_img_work_in_messenger.png          |fd8738a8-e053-408b-81a9-6c7f190cb6b2|2026-07-13 12:34:40.621 +0400|
|store_ico_drug.png                       |85ce5128-6a59-4f8d-8142-5b25b0bf8d40|2026-07-13 12:34:19.739 +0400|
|store_img_taska.png                      |e2ad6c97-a168-449d-af83-2207f54587d2|2026-07-13 12:34:40.639 +0400|
|store_img_pohelper.png                   |b77ff5da-bf35-4233-b876-1004d07e1b5e|2026-07-13 12:34:40.558 +0400|
|store_ico_sbercot.png                    |b298e3e1-f7d0-4627-9de9-c689a6ed3183|2026-07-13 12:34:19.745 +0400|
|store_img_process_helper.jpeg            |18e4f985-62db-4e61-a536-5abd661a2807|2026-07-13 12:34:40.644 +0400|
|store_img_sberTrack.png                  |14500585-f207-49df-81d3-53615f7bae7a|2026-07-13 12:34:40.634 +0400|
|store_img_sber_cat.png                   |357af2a8-cdad-466d-b34d-3693ed97a7e7|2026-07-13 12:34:40.543 +0400|
|store_ico_sberbook.png                   |7cdbe554-f54e-42f3-b4ed-28a7aaf48b8f|2026-07-13 12:34:19.933 +0400|
|store_img_bitbucket.png                  |6750d15f-da75-4dd0-9abc-fda50c145bc1|2026-07-13 12:34:40.483 +0400|
|store_img_perry.png                      |1d23aad4-7ea7-471c-acb3-18dc9274bdb0|2026-07-13 12:34:40.515 +0400|
|store_ico_taska.png                      |423791a0-5ae3-432b-8e42-ec0c7726f634|2026-07-13 12:34:20.025 +0400|
|store_img_sberbook.png                   |8e2004ab-02b4-49f8-8cf6-936571f5ddfc|2026-07-13 12:34:40.629 +0400|
|store_img_mail.png                       |039b2eb1-c6b9-41b3-80a2-a1a5d6fd7b6d|2026-07-13 12:34:40.502 +0400|
|store_img_presentation.png               |e09652d5-1cd5-4f65-9649-ab7c26661f83|2026-07-13 12:34:40.539 +0400|
